"","text","favoriteCount","created","truncated","id","statusSource","screenName","retweetCount","isRetweet"
"42","We can never let Republicans cut or privatize Social Security—we should protect and expand it. Thanks, @POTUS. https://t.co/eIXIQsm8Pt",2468,2016-06-03 16:27:28,FALSE,"738769078060519424","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1156,FALSE
"43","RT @MomsDemand: The choice is clear: Hillary Clinton is the only candidate who consistently stands with gun safety. #ImWithHer https://t.co…",0,2016-06-03 17:12:34,FALSE,"738780426916003840","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1110,TRUE
"44","Every time Trump loses his temper, imagine him in the Situation Room making life-or-death decisions on our behalf.
https://t.co/OjL116AV74",9398,2016-06-03 17:45:00,FALSE,"738788590306500608","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",5947,FALSE
"45","No, Donald. Esto no es un “conflicto de inter<U+00E9>s”—el problema eres t<U+00FA>. https://t.co/T9jJ1QdAWL",1461,2016-06-03 18:11:05,FALSE,"738795152504950784","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",693,FALSE
"46","Hillary schooled Donald Trump on foreign policy yesterday. Miss the speech? Catch up on some of the highlights: https://t.co/KSrFV7MnfG",2930,2016-06-03 18:40:04,FALSE,"738802447934758912","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1283,FALSE
"47",".@maddow: ""She's not caricaturing Donald Trump...she's just quoting him directly, and that's deadly.""
https://t.co/pGzHEat82l",6517,2016-06-03 20:00:26,FALSE,"738822672444887042","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3618,FALSE
"48","RT @mikereedschmidt: Let's create jobs by making the boldest infrastructure investments since we built the interstate highway system. https…",0,2016-06-03 20:22:32,FALSE,"738828235757223936","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",340,TRUE
"49","It’s not hard to imagine @realDonaldTrump leading us into a war just because somebody got under his very thin skin. https://t.co/2NLg1HtvVD",4830,2016-06-03 20:53:07,FALSE,"738835931898257408","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2370,FALSE
"50","Trump is attacking a judge based on his heritage because Trump thinks *he's* the victim of bias here. https://t.co/gMxiQIpye4",3529,2016-06-03 21:51:22,FALSE,"738850588448960512","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HillaryClinton",1728,FALSE
"51",".@realDonaldTrump's ""ideas"" are really just a series of bizarre rants, personal feuds, and outright lies. https://t.co/qmyGDuwRZC",8683,2016-06-03 22:30:07,FALSE,"738860341526958080","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",3874,FALSE
"52","RT @latimesopinion: Hillary Clinton is the better candidate to take on Trump https://t.co/vcHZmIjmgg https://t.co/hIf3ep3HMY",0,2016-06-03 23:29:49,FALSE,"738875364429172736","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1551,TRUE
"53","When Trump insults Muslims or immigrants, he should remember that Muslims and immigrants serve in our armed forces. https://t.co/EkShqvbssC",7239,2016-06-04 00:57:12,FALSE,"738897355710291968","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HillaryClinton",3970,FALSE
"54","America is a country of diverse beliefs and heritages. That makes us strong, regardless of what Donald thinks.
https://t.co/Nbyd4zSuyY",5645,2016-06-04 14:05:10,FALSE,"739095653331046401","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3333,FALSE
"55","Trump no tiene el derecho de definir qui<U+00E9>n es y no es parte de este pa<U+00ED>s. Nos definen los valores—no la intolerancia.",2431,2016-06-04 14:47:39,FALSE,"739106345052438528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HillaryClinton",1279,FALSE
"56","Muslims and Mexican immigrants serve with distinction in the U.S. military. Trump could learn something about being an American from them.",8020,2016-06-04 18:04:56,FALSE,"739155994035523588","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",3449,FALSE
"57",".@lorellapraeli: HFA staffer. DREAMer. U.S. citizen. 

First time voter.
https://t.co/zrTYJyvm5P",2581,2016-06-04 18:37:19,FALSE,"739164143823917058","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1189,FALSE
"58","El emocionante momento cuando @lorellapraeli pudo votar por primera vez. <U+00A1>Felicitaciones!
https://t.co/w2lQc1tg9o",1493,2016-06-04 19:12:33,FALSE,"739173011379486721","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",612,FALSE
"59","Lying about veterans, his business, and his own words—and that wasn't even the worst thing Trump said this week. https://t.co/YOylTGp1tb",2799,2016-06-04 20:04:01,FALSE,"739185962643771392","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1487,FALSE
"60","This week, we saw the REAL @realDonaldTrump. Which story appalled you the most?",2447,2016-06-04 20:17:00,FALSE,"739189229205499904","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1453,FALSE
"61","Muhammad Ali really was The Greatest—unmatched not just in power and skill, but also in courage and conscience. Thinking of his family. -H",8666,2016-06-04 20:44:32,FALSE,"739196157482696713","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",3003,FALSE
"62","Trump said the judge presiding over a lawsuit against Trump U. should be disqualified from his job because of his “Mexican heritage.”",4044,2016-06-04 21:16:15,FALSE,"739204141055102976","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1936,FALSE
"63","Incre<U+00ED>ble.
https://t.co/PmerodqGzQ",1884,2016-06-04 22:14:30,FALSE,"739218798440415232","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1386,FALSE
"64","It'd be all too easy for Trump to roll back the progress we've made on LGBT rights. We can't give him the chance. https://t.co/9KytRrhikA",3586,2016-06-04 23:47:50,FALSE,"739242286329044992","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1613,FALSE
"65","RT @elizabethforma: This is what Democrats united to beat @realDonaldTrump look like. Get ready, Donald – we're coming. https://t.co/p8dFtv…",0,2016-06-05 01:33:51,FALSE,"739268969056600064","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",6553,TRUE
"66","RT @NBCPolitics: BREAKING: Clinton is projected winner in U.S. Virgin Islands Dem caucus https://t.co/Z6k6ICrFl7 #Decision2016 https://t.co…",0,2016-06-05 02:41:28,FALSE,"739285982231564292","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1922,TRUE
"67","These California ESL students are using Hillary's 1995 speech in Beijing to learn English.
https://t.co/5n6aJT9myq",3869,2016-06-05 16:02:11,FALSE,"739487489635667968","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1767,FALSE
